Assessment,Type,Country,Region,Date,Status,Availability,"PEFA check",Framework,Language,"Lead Agencies","Link to Content"
"Maldives 2021",National,Maldives,"South Asia",2021,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/4341
"Mali 2008",National,Mali,"Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3021
"Mali 2011",National,Mali,"Sub-Saharan Africa",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2701
"Mali 2016",National,Mali,"Sub-Saharan Africa",2016,Final,Public,Yes,"2011 Framework",French,WB,https://www.pefa.org/node/1041
"Mali 2018",National,Mali,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",French,"Government, WB",https://www.pefa.org/node/346
"Mali 2020",National,Mali,"Sub-Saharan Africa",2020,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/3656
"Mali 2021",National,Mali,"Sub-Saharan Africa",2021,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/4502
"Mali Bougouni Municipality 2022",Subnational,Mali,"Sub-Saharan Africa",0022,Draft,Non-public,,"2021 SNG Framework",French,"Government, WB",https://www.pefa.org/node/5180
"Mali GRPFM 2021",National,Mali,"Sub-Saharan Africa",2021,Final,Public,Yes,"Gender Framework",French,Government,https://www.pefa.org/node/4993
"Mali Kita Municipality 2022",Subnational,Mali,"Sub-Saharan Africa",2022,Draft,Non-public,,"2021 SNG Framework",French,"Government, WB",https://www.pefa.org/node/5181
"Mali Koulikoro Municipality 2022",Subnational,Mali,"Sub-Saharan Africa",,Planned,Non-public,,"2021 SNG Framework",Français,Government,https://www.pefa.org/node/5063
"Mali Pelengana Municipality 2022",Subnational,Mali,"Sub-Saharan Africa",2022,Draft,Non-public,,"2021 SNG Framework",French,"Government, WB",https://www.pefa.org/node/5182
"Mali Sikasso Municipality 2022",Subnational,Mali,"Sub-Saharan Africa",2022,Draft,Non-public,,"2021 SNG Framework",French,"Government, WB",https://www.pefa.org/node/5179
"Marshall Islands 2012",National,"Marshall Islands","East Asia & Pacific",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/1761
"Mauritania 2008",National,Mauritania,"Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2696
"Mauritania 2014",National,Mauritania,"Sub-Saharan Africa",2014,Final,Public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/1286
"Mauritania 2020",National,Mauritania,"Sub-Saharan Africa",2020,Final,Public,Yes,"2016 Framework",French,"EU, Government",https://www.pefa.org/node/3666
"Mauritania Nouakchott City 2012",Subnational,Mauritania,"Sub-Saharan Africa",2012,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,"MFA France",https://www.pefa.org/node/1546
"Mauritius 2007",National,Mauritius,"Sub-Saharan Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3016
"Mauritius 2011",National,Mauritius,"Sub-Saharan Africa",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/2691
"Mauritius 2015",National,Mauritius,"Sub-Saharan Africa",2015,Final,Public,No,"2011 Framework",,"EU, Government",https://www.pefa.org/node/1036
"Mayotte 2008",National,Mayotte,"Sub-Saharan Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2251
"Mexico Chihuahua Municipality 2022",Subnational,Mexico,"Latin America & Caribbean",2022,Final,Public,Yes,"2021 SNG Framework",Spanish,Government,https://www.pefa.org/node/5124
"Mexico City 2020",Subnational,Mexico,"Latin America & Caribbean",2020,Final,Non-public,Yes,"2016 Framework",Español,"Government, IADB",https://www.pefa.org/node/3861
"Micronesia 2013",National,Micronesia,"East Asia & Pacific",2013,Final,Non-public,No,"2011 Framework",,IMF,https://www.pefa.org/node/1766
"Moldova 2006",National,Moldova,"Europe & Central Asia",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2911
"Moldova 2008",National,Moldova,"Europe & Central Asia",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2906
"Moldova 2011",National,Moldova,"Europe & Central Asia",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1831
"Moldova 2015",National,Moldova,"Europe & Central Asia",2015,Final,Public,Yes,"2011 Framework",,EU,https://www.pefa.org/node/916
"Moldova 2022",National,Moldova,"Europe & Central Asia",2022,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/4990
"Moldova GRPFM 2022 /Gender Annex/",National,Moldova,"Europe & Central Asia",2022,Final,Public,Yes,"Gender Framework",English,"WB, UN Women",https://www.pefa.org/node/4992
"Moldova SNGs 2021- Ungheni, Cahul and Edinet",Subnational,Moldova,"Europe & Central Asia",,Planned,Non-public,,"2016 Framework",English,"WB, Government",https://www.pefa.org/node/4991
"Mongolia 2015",National,Mongolia,"East Asia & Pacific",2015,Final,Public,Yes,"2011 Framework",,WB,https://www.pefa.org/node/1276
"Mongolia 2021/AGILE REPORT/",National,Mongolia,"East Asia & Pacific",2021,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/5006
"Mongolia Ulaanbaatar City 2022",Subnational,Mongolia,"East Asia & Pacific",,Planned,Non-public,,"2021 SNG Framework",,,https://www.pefa.org/node/5140
"Montenegro 2009",National,Montenegro,"Europe & Central Asia",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2311
"Montenegro 2013",National,Montenegro,"Europe & Central Asia",2013,Final,Public,Yes,"2011 Framework",,WB,https://www.pefa.org/node/1421
"Montenegro 2019",National,Montenegro,"Europe & Central Asia",2019,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/211
"Montseratt 2008",National,Montseratt,"Latin America & Caribbean",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3116
"Montseratt 2010",National,Montseratt,"Latin America & Caribbean",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/2471
"Montseratt 2014",National,Montseratt,"Latin America & Caribbean",2014,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1051
"Morocco 2009",National,Morocco,"Middle East & North Africa",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2846
"Morocco 2016",National,Morocco,"Middle East & North Africa",2016,Final,Public,Yes,"2016 Framework",French,EU,https://www.pefa.org/node/596
"Morocco 2022",National,Morocco,,,Planned,Non-public,,"2016 Framework",,,https://www.pefa.org/node/5143
"Morocco Agadir City 2015",Subnational,Morocco,"Middle East & North Africa",2015,Final,Public,Yes,"2011 Framework",French,"WB, AfD",https://www.pefa.org/node/931
"Morocco Casablanca 2016",Subnational,Morocco,"Middle East & North Africa",2016,Final,Non-public,Yes,"Testing Framework",French,"AfD, WB",https://www.pefa.org/node/756
"Morocco GRPFM 2022 /Gender Annex/",National,Morocco,"Middle East & North Africa",,Planned,Non-public,,"Gender Framework",French,"Government, WB",https://www.pefa.org/node/5166
"Mozambique 2006",National,Mozambique,"Sub-Saharan Africa",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/3011
"Mozambique 2008",National,Mozambique,"Sub-Saharan Africa",2008,Final,Public,No,"2011 Framework",,NMOFA,https://www.pefa.org/node/3006
"Mozambique 2011",National,Mozambique,"Sub-Saharan Africa",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,NORAD,https://www.pefa.org/node/2046
"Mozambique 2015",National,Mozambique,"Sub-Saharan Africa",2015,Final,Public,Yes,"2011 Framework",English,EU,https://www.pefa.org/node/1026
"Mozambique 2021",National,Mozambique,"Sub-Saharan Africa",2021,Final,Public,Yes,"2016 Framework",Portuguese,"Government, EU",https://www.pefa.org/node/4216
"Mozambique Beira City 2016",Subnational,Mozambique,"Sub-Saharan Africa",2016,Final,Non-public,Yes,"2011 Framework",,"AfD, WB",https://www.pefa.org/node/786
"Mozambique Cabo Delgado 2009",Subnational,Mozambique,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,AfD,https://www.pefa.org/node/781
"Mozambique Maputo 2020",Subnational,Mozambique,"Sub-Saharan Africa",2020,Draft,Non-public,None,"2016 Framework",Portuguese,"AfD, Government",https://www.pefa.org/node/3681
"Mozambique Matola Municipality 2022",Subnational,Mozambique,"Sub-Saharan Africa",2022,Draft,Non-public,None,"2016 Framework",Portuguese,"AfD, Government",https://www.pefa.org/node/3686
"Mozambique Nampula Municipality 2021",Subnational,Mozambique,"Sub-Saharan Africa",,Draft,Non-public,,"2016 Framework",Portuguese,"Government, WBG",https://www.pefa.org/node/5115
"Mozambique Quelimane Municipality 2021",Subnational,Mozambique,"Sub-Saharan Africa",2021,Final,Non-public,Yes,"2016 Framework",Portuguese,"Government, WBG",https://www.pefa.org/node/5066
"Mozambique Tete Municipality 2021",Subnational,Mozambique,"Sub-Saharan Africa",2021,Draft,Non-public,,"2016 Framework",Portuguese,"Government, EU",https://www.pefa.org/node/5125
"Mozambique Xai-Xai City 2021",Subnational,Mozambique,"Sub-Saharan Africa",2021,Final,Non-public,Yes,"2016 Framework",Portuguese,"Government, WB",https://www.pefa.org/node/3841
"Myanmar 2012",National,Myanmar,"East Asia & Pacific",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1671
"Myanmar 2020",National,Myanmar,"East Asia & Pacific",2020,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/3646
"Namibia 2008",National,Namibia,"Sub-Saharan Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2401
"Namibia 2015",National,Namibia,"Sub-Saharan Africa",2015,Final,Non-public,Yes,"2011 Framework",,"AfDB, Government",https://www.pefa.org/node/1281
"Nauru 2010",National,Nauru,"East Asia & Pacific",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,ADB,https://www.pefa.org/node/2076
"Nauru 2021",National,Nauru,"East Asia & Pacific",2022,Draft,Non-public,,"2016 Framework",English,Government,https://www.pefa.org/node/5122
"Nauru GRPFM 2022/Gender Annex/",National,Nauru,"East Asia & Pacific",2022,Draft,Non-public,,"Gender Framework",English,Government,https://www.pefa.org/node/5123
"Nepal 2008",National,Nepal,"South Asia",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2821
"Nepal 2015",National,Nepal,"South Asia",2015,Final,Public,No,"2011 Framework",,WB,https://www.pefa.org/node/1031
"Nepal 2021",National,Nepal,"South Asia",,Planned,Non-public,,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/5030
"Nepal 4 SNG 2019",Subnational,Nepal,"South Asia",,Planned,Non-public,,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/3846
"Nepal GRPFM 2021 /Gender Annex/",National,Nepal,"South Asia",,Planned,Non-public,,"Gender Framework",English,"Government, WB",https://www.pefa.org/node/5073
"Nepal Nepalgunj Metropolitan City 2022",Subnational,Nepal,"South Asia",2022,Draft,Non-public,No,"2021 SNG Framework",English,"Government, WB",https://www.pefa.org/node/5120
"New Caledonia 2008",National,"New Caledonia","East Asia & Pacific",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2246
"New Caledonia 2012",National,"New Caledonia","East Asia & Pacific",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1771
"New Caledonia 2019",National,"New Caledonia","East Asia & Pacific",2019,Final,Public,Yes,"2016 Framework",French,Government,https://www.pefa.org/node/201
"Nicaragua 2006",National,Nicaragua,"Latin America & Caribbean",2006,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1946
"Nicaragua 2015",National,Nicaragua,"Latin America & Caribbean",2015,Final,Public,Yes,"2011 Framework",Español,WB,https://www.pefa.org/node/1261
"Niger 2008",National,Niger,"Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2686
"Niger 2013",National,Niger,"Sub-Saharan Africa",2013,Final,Public,Yes,"2011 Framework",,IMF,https://www.pefa.org/node/1681
"Niger 2017",National,Niger,"Sub-Saharan Africa",2017,Final,Public,Yes,"2016 Framework",French,EU,https://www.pefa.org/node/561
"Niger 2022",National,Niger,"Sub-Saharan Africa",,Planned,Non-public,,"2016 Framework",,,https://www.pefa.org/node/5141
"Niger GRPFM 2022 /Gender Annex/",National,Niger,"Sub-Saharan Africa",,Planned,Non-public,,"Gender Framework",,"Government, AfD, AfDB",https://www.pefa.org/node/5130
"Nigeria 2013",National,Nigeria,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1541
"Nigeria 2019",National,Nigeria,"Sub-Saharan Africa",2019,Final,Public,No,"2016 Framework",English,"DFID, Government",https://www.pefa.org/node/166
"Nigeria Abia State 2012",Subnational,Nigeria,"Sub-Saharan Africa",2012,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1416
"Nigeria Adamawa State 2013",Subnational,Nigeria,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1411
"Nigeria Anambra State 2008",Subnational,Nigeria,"Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1706
"Nigeria Anambra State 2011",Subnational,Nigeria,"Sub-Saharan Africa",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2211
"Nigeria Bayelsa State 2009",Subnational,Nigeria,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2206
"Nigeria Cross River State 2011",Subnational,Nigeria,"Sub-Saharan Africa",2011,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2201
"Nigeria Edo State 2010",Subnational,Nigeria,"Sub-Saharan Africa",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2196
"Nigeria Ekiti State 2012",Subnational,Nigeria,"Sub-Saharan Africa",2012,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1611
"Nigeria Enugu State 2009",Subnational,Nigeria,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2371
"Nigeria Enugu State 2012",Subnational,Nigeria,"Sub-Saharan Africa",2012,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1606
"Nigeria Imo State 2013",Subnational,Nigeria,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1406
"Nigeria Jigawa State 2007",Subnational,Nigeria,"Sub-Saharan Africa",2007,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2366
"Nigeria Jigawa State 2011",Subnational,Nigeria,"Sub-Saharan Africa",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2191
"Nigeria Kaduna State 2008",Subnational,Nigeria,"Sub-Saharan Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2041
"Nigeria Kaduna State 2012",Subnational,Nigeria,"Sub-Saharan Africa",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1601
"Nigeria Kano State 2007",Subnational,Nigeria,"Sub-Saharan Africa",2007,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2186
"Nigeria Kano State 2011",Subnational,Nigeria,"Sub-Saharan Africa",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2181
"Nigeria Kebbi State 2013",Subnational,Nigeria,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1401
"Nigeria Kogi State 2009",Subnational,Nigeria,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2151
"Nigeria Lagos State 2009",Subnational,Nigeria,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1736
"Nigeria Lagos State 2012",Subnational,Nigeria,"Sub-Saharan Africa",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1596
"Nigeria Niger State 2009",Subnational,Nigeria,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2176
"Nigeria Ondo State 2010",Subnational,Nigeria,"Sub-Saharan Africa",2010,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2171
"Nigeria Osun State 2011",Subnational,Nigeria,"Sub-Saharan Africa",2011,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2166
"Nigeria Plateau State 2009",Subnational,Nigeria,"Sub-Saharan Africa",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2161
"Nigeria Rivers State 2008",Subnational,Nigeria,"Sub-Saharan Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2361
"Nigeria Yobe State 2010",Subnational,Nigeria,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1116
"Nigeria Yobe State 2011",Subnational,Nigeria,"Sub-Saharan Africa",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2156
"Nigeria Zamfara State 2011",Subnational,Nigeria,"Sub-Saharan Africa",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/1591
"Niue 2011",National,Niue,"East Asia & Pacific",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,IMF,https://www.pefa.org/node/1906
"Niue 2021",National,Niue,"East Asia & Pacific",2021,Final,Public,No,"2016 Framework",English,"Government, ADB",https://www.pefa.org/node/5034
"North Macedonia 2022",National,Macedonia,"Europe & Central Asia",2022,Final,Public,Yes,"2016 Framework",English,"WB, IMF",https://www.pefa.org/node/5117
"Norway 2008",National,Norway,"Europe & Central Asia",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,NORAD,https://www.pefa.org/node/2816
"Norway GRPFM 2020",National,Norway,"Europe & Central Asia",2020,Final,Public,Yes,"Gender Framework",English,"MFA Norway",https://www.pefa.org/node/4519
"Oman 2013",National,Oman,"Middle East & North Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1371
"Pakistan 2009",National,Pakistan,"South Asia",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2476
"Pakistan 2012",National,Pakistan,"South Asia",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1536
"Pakistan 2020",National,Pakistan,"South Asia",2020,Final,Non-public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/471
"Pakistan Balochistan Province 2007",Subnational,Pakistan,"South Asia",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2801
"Pakistan Balochistan Province 2017",Subnational,Pakistan,"South Asia",2017,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/421
"Pakistan Khyber Pakhtunkhwa Province 2017",Subnational,Pakistan,"South Asia",2017,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/426
"Pakistan Khyber Paktunkhwa Province 2011",Subnational,Pakistan,"South Asia",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,DFID,https://www.pefa.org/node/1911
"Pakistan NWFP Province 2007",Subnational,Pakistan,"South Asia",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2796
"Pakistan Punjab Province 2007",Subnational,Pakistan,"South Asia",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2791
"Pakistan Punjab Province 2012",Subnational,Pakistan,"South Asia",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1531
"Pakistan Punjab Province 2019",Subnational,Pakistan,"South Asia",2019,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/3706
"Pakistan Sindh Province 2009",Subnational,Pakistan,"South Asia",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2786
"Pakistan Sindh Province 2013",Subnational,Pakistan,"South Asia",2013,Final,Public,Yes,"2011 Framework",,WB,https://www.pefa.org/node/1191
"Pakistan Sindh Province 2020",Subnational,Pakistan,"Sub-Saharan Africa",2020,Final,Public,Yes,"2016 Framework",English,"Government, WBG",https://www.pefa.org/node/3976
"Palau 2022/AGILE REPORT/",National,Palau,"East Asia & Pacific",,Planned,Non-public,,"2016 Framework",English,Government,https://www.pefa.org/node/5177
"Panama 2013",National,Panama,"Latin America & Caribbean",2013,Final,Public,"N/A (pre-2012)","2011 Framework",,IADB,https://www.pefa.org/node/1396
"Papua New Guinea 2005",National,"Papua New Guinea","East Asia & Pacific",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2346
"Papua New Guinea 2009",National,"Papua New Guinea","East Asia & Pacific",2009,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1776
"Papua New Guinea 2015",National,"Papua New Guinea","East Asia & Pacific",2015,Final,Public,Yes,"Testing Framework",English,IMF,https://www.pefa.org/node/496
"Papua New Guinea 2020",National,"Papua New Guinea","East Asia & Pacific",2020,Final,Non-public,Yes,"2016 Framework",English,"Government, IMF",https://www.pefa.org/node/3661
"Papua New Guinea Milne Bay Province 2011",Subnational,"Papua New Guinea","East Asia & Pacific",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1726
"Paraguay 2008",National,Paraguay,"Latin America & Caribbean",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2871
"Paraguay 2011",National,Paraguay,"Latin America & Caribbean",2011,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1941
"Paraguay 2016",National,Paraguay,"Latin America & Caribbean",2016,Final,Public,Yes,"2016 Framework",Spanish,EU,https://www.pefa.org/node/606
"Paraguay GRPFM 2022 /Gender Annex/",National,Paraguay,"Latin America & Caribbean",,Planned,Non-public,,"Gender Framework",,Government,https://www.pefa.org/node/5165
"Peru 2009",National,Peru,"Latin America & Caribbean",2009,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2866
"Peru 2015",National,Peru,"Latin America & Caribbean",2015,Draft,Non-public,None,"2011 Framework",,EU,https://www.pefa.org/node/1631
"Peru Abancay Municipality 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/441
"Peru Amazonas Region 2012",Subnational,Peru,"Latin America & Caribbean",2012,Draft,Non-public,None,"2011 Framework",,SECO,https://www.pefa.org/node/1646
"Peru Apurimac Region 2011",Subnational,Peru,"Latin America & Caribbean",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,SECO,https://www.pefa.org/node/1821
"Peru Apurimac Region 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/446
"Peru Ayacucho Region 2013",Subnational,Peru,"Latin America & Caribbean",2013,Draft,Non-public,None,"2011 Framework",,EU,https://www.pefa.org/node/1656
"Peru Chiclayo Municipality 2012",Subnational,Peru,"Latin America & Caribbean",2012,Draft,Non-public,None,"2011 Framework",,SECO,https://www.pefa.org/node/1661
"Peru Chiclayo Municipality 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/401
"Peru Cusco Municipality 2012",Subnational,Peru,"Latin America & Caribbean",2012,Draft,Non-public,None,"2011 Framework",,SECO,https://www.pefa.org/node/1651
"Peru Cusco Municipality 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/436
"Peru Cusco Region 2011",Subnational,Peru,"Latin America & Caribbean",2011,Final,Non-public,"N/A (pre-2012)","2011 Framework",,SECO,https://www.pefa.org/node/1826
"Peru Cusco Region 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/391
"Peru Huancavelica Region 2012",Subnational,Peru,"Latin America & Caribbean",2012,Draft,Non-public,None,"2011 Framework",,GIZ,https://www.pefa.org/node/1641
"Peru La Libertad Region 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/396
"Peru Lambayeque Region 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/406
"Peru Piura Region 2018",Subnational,Peru,"Latin America & Caribbean",2018,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/621
"Peru San Martin Municipality 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/386
"Peru San Martin Region 2012",Subnational,Peru,"Latin America & Caribbean",2012,Final,Non-public,"N/A (pre-2012)","2011 Framework",,SECO,https://www.pefa.org/node/1836
"Peru San Martin Region 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/456
"Peru Trujillo Municipality 2013",Subnational,Peru,"Latin America & Caribbean",2013,Final,Public,No,"2011 Framework",,IADB,https://www.pefa.org/node/1636
"Peru Trujillo Municipality 2017",Subnational,Peru,"Latin America & Caribbean",2017,Final,Public,Yes,"2016 Framework",Spanish,SECO,https://www.pefa.org/node/431
"Philippines 2010",National,Philippines,"East Asia & Pacific",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2561
"Philippines 2016",National,Philippines,"East Asia & Pacific",2016,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/611
"Russia 2007",National,Russia,"Europe & Central Asia",2007,Draft,Non-public,"N/A (pre-2012)","2011 Framework",,"Government, WB",https://www.pefa.org/node/2066
"Rwanda 2008",National,Rwanda,"Sub-Saharan Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/3001
"Rwanda 2010",National,Rwanda,"Sub-Saharan Africa",2010,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2681
"Rwanda 2017",National,Rwanda,"Sub-Saharan Africa",2017,Final,Public,Yes,"2016 Framework",English,Government,https://www.pefa.org/node/451
"Rwanda 2022",National,Rwanda,"Sub-Saharan Africa",2022,Draft,Non-public,,"2016 Framework",English,Government,https://www.pefa.org/node/5061
"Rwanda 2022 GRPFM /Gender Annex/",National,Rwanda,"Sub-Saharan Africa",2022,Draft,Non-public,,"Gender Framework",English,Government,https://www.pefa.org/node/5162
